stateID=1, vehicleID=252392, currentMileage=37430, seatNum=56
stateID=2, vehicleID=490529, currentMileage=50674, seatNum=63
stateID=2, vehicleID=651332, currentMileage=53027, seatNum=43
stateID=2, vehicleID=574706, currentMileage=36492, seatNum=15
stateID=2, vehicleID=837635, currentMileage=61817, seatNum=24
stateID=2, vehicleID=727569, currentMileage=91424, seatNum=71
stateID=2, vehicleID=601292, currentMileage=76251, seatNum=50
stateID=3, vehicleID=456097, currentMileage=89539, seatNum=71
stateID=3, vehicleID=429507, currentMileage=65085, seatNum=43
stateID=3, vehicleID=488650, currentMileage=60514, seatNum=76
stateID=3, vehicleID=877061, currentMileage=72672, seatNum=55
stateID=3, vehicleID=651332, currentMileage=53027, seatNum=43
stateID=3, vehicleID=727569, currentMileage=91424, seatNum=71
stateID=3, vehicleID=614499, currentMileage=35129, seatNum=78
stateID=3, vehicleID=464577, currentMileage=55048, seatNum=74
stateID=3, vehicleID=328093, currentMileage=77418, seatNum=25
stateID=3, vehicleID=386476, currentMileage=78653, seatNum=36
stateID=3, vehicleID=232430, currentMileage=38639, seatNum=77
stateID=3, vehicleID=506258, currentMileage=63036, seatNum=78
stateID=3, vehicleID=453346, currentMileage=58227, seatNum=66
stateID=3, vehicleID=140054, currentMileage=73025, seatNum=28
stateID=3, vehicleID=183853, currentMileage=70040, seatNum=23
stateID=3, vehicleID=521988, currentMileage=88067, seatNum=46
stateID=3, vehicleID=252392, currentMileage=86971, seatNum=56
stateID=3, vehicleID=306685, currentMileage=60972, seatNum=49
stateID=3, vehicleID=490529, currentMileage=50674, seatNum=63
stateID=3, vehicleID=629050, currentMileage=42109, seatNum=72
stateID=3, vehicleID=375904, currentMileage=53587, seatNum=22
stateID=3, vehicleID=742895, currentMileage=43943, seatNum=77
stateID=3, vehicleID=462386, currentMileage=52230, seatNum=29
stateID=3, vehicleID=601292, currentMileage=76251, seatNum=50
stateID=3, vehicleID=143966, currentMileage=87787, seatNum=57
stateID=3, vehicleID=802132, currentMileage=76429, seatNum=67
stateID=3, vehicleID=495356, currentMileage=71530, seatNum=43
stateID=3, vehicleID=746924, currentMileage=90953, seatNum=18
stateID=4, vehicleID=614499, currentMileage=35129, seatNum=78
stateID=4, vehicleID=140054, currentMileage=73025, seatNum=28
stateID=4, vehicleID=306685, currentMileage=60972, seatNum=49
stateID=4, vehicleID=837635, currentMileage=61817, seatNum=24
stateID=4, vehicleID=727569, currentMileage=91424, seatNum=71
stateID=4, vehicleID=464577, currentMileage=55048, seatNum=74
stateID=4, vehicleID=495356, currentMileage=71530, seatNum=43
stateID=4, vehicleID=375904, currentMileage=53587, seatNum=22
BusRequest(stateID=4, destCity=Maxville, requiredSeatNum=80) cannot be statisfied.
stateID=4, vehicleID=429507, currentMileage=65085, seatNum=43
stateID=4, vehicleID=183853, currentMileage=70040, seatNum=23
stateID=4, vehicleID=232430, currentMileage=38639, seatNum=77
stateID=4, vehicleID=651332, currentMileage=53027, seatNum=43
stateID=4, vehicleID=742895, currentMileage=43943, seatNum=77
stateID=4, vehicleID=143966, currentMileage=87787, seatNum=57
stateID=4, vehicleID=506258, currentMileage=63036, seatNum=78
stateID=4, vehicleID=453346, currentMileage=58227, seatNum=66
stateID=5, vehicleID=464577, currentMileage=55048, seatNum=74
stateID=5, vehicleID=802132, currentMileage=76429, seatNum=67
stateID=5, vehicleID=456097, currentMileage=89539, seatNum=71
BusRequest(stateID=5, destCity=Havelock, requiredSeatNum=79) cannot be statisfied.
stateID=5, vehicleID=490529, currentMileage=50674, seatNum=63
stateID=5, vehicleID=877061, currentMileage=72672, seatNum=55
stateID=5, vehicleID=521988, currentMileage=88067, seatNum=46
